trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.756}",30,19,-65.07463484281561,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.7, 'e': 0.7144199999999999}",20,7,-33.14373999294687,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.6751268999999999}",35,15,-112.47218967023109,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
4,False,"{'a': 0.7, 'e': 0.6379949204999998}",30,2,-227.26546537635468,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 4}",1
5,False,"{'a': 0.7, 'e': 0.6029051998724998}",20,10,9.21649173476588,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.5697454138795123}",20,2,-30.453690296871642,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.538409416116139}",25,20,9.012528150110967,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.5087968982297514}",30,13,-78.13916459997004,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
9,False,"{'a': 0.7, 'e': 0.48081306882711505}",35,23,-17.7956101477934,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.4543683500416237}",25,10,3.6368827046322276,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.42937809078933437}",25,0,-56.722472482372666,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.40576229579592094}",20,13,-39.23724287116764,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.7, 'e': 0.38344536952714525}",25,0,-51.541813187693386,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.36235587420315224}",20,6,-79.4054191170402,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.7, 'e': 0.34242630112197886}",20,0,-92.24417440658502,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.32359285456027}",25,0,-4.480643251398065,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.30579524755945514}",30,2,-32.12116356345589,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.7, 'e': 0.2889765089436851}",20,0,-103.33590151076103,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.2730828009517824}",25,0,12.325653534029655,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.25806324689943433}",25,9,-6.170448871302877,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.24386976831996543}",30,7,5.228692361263196,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.7, 'e': 0.2304569310623673}",25,11,10.959117103123065,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.21778179985393709}",30,17,-28.001575589521188,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.7, 'e': 0.20580380086197053}",25,13,-23.03531970736354,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.7, 'e': 0.19448459181456215}",25,0,-10.059429759045676,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.18378793926476122}",30,14,23.449528141182345,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.17367960260519935}",20,12,14.752196091996444,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.16412722446191338}",20,10,20.726406731806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.15510022711650814}",20,6,17.22398666701616,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 0.14656971462510018}",20,2,-19.356703104426394,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
