trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9503999999999999}",25,0,-80.94457677184184,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.9123839999999999}",25,0,-149.76266311324184,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.8758886399999999}",30,0,-121.55310403325599,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.8408530943999999}",20,0,-44.230164391224775,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.8072189706239998}",25,0,-107.16216892385472,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.7749302117990398}",25,5,-68.46389624717048,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.7439330033270781}",20,4,-96.01009427300484,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 1}",1
8,False,"{'a': 0.8, 'e': 0.7141756831939949}",30,0,-126.92210643540994,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.6856086558662351}",20,0,-66.85972854822585,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.6581843096315857}",20,0,-83.41388089390688,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.6318569372463222}",25,8,-35.8935802526378,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.6065826597564693}",25,13,-21.447312442224323,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.8, 'e': 0.5823193533662105}",35,16,-65.16831001238722,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.8, 'e': 0.5590265792315621}",20,0,-15.02865970783873,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.5366655160622996}",20,6,-61.352590816594734,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.8, 'e': 0.5151988954198076}",25,16,-16.585595402776836,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.49459093960301526}",20,0,-99.74445371355336,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.47480730201889465}",30,0,-140.1043340983444,"{0: 22, 1: 1, 2: 2, 3: 3, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.45581500993813884}",25,14,-68.12502423190773,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.8, 'e': 0.4375824095406133}",25,7,-62.17782986984436,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.4200791131589887}",20,1,-73.95116076113587,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
22,False,"{'a': 0.8, 'e': 0.40327594863262917}",20,0,-41.0240462271745,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.387144910687324}",20,6,-41.58088662658839,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.8, 'e': 0.371659114259831}",20,0,-13.186806783989399,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.35679274968943775}",25,0,24.18781633968663,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
